favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
9,Facebook,I posted a new photo to Facebook http://t.co/XC3LAeQJ,,False,Sat May 26 11:48:20 +0000 2012,1,206351058061107201
33929,Twitter for iPhone,"心を無にする。
プレミアムフライデーに、座禅を組みました。
慌ただしい毎日ですが、久しぶりに静かなひと時を過ごし、すっきりと落ち着いた気持ちになりました。

この後、上野の博物館に行ってみようと思います。 https://t.co/kWB5vHluSF",,False,Fri Feb 24 08:02:37 +0000 2017,17166,835037199636652032
128,Facebook,"今朝、久々にジョギングしてきました。
いつもの様に家を出発して代々木公園を三周し、家に帰るコースです。

いつもと違うのは、数名のＳＰが一緒という事です。... http://t.co/z8TOdIQ6",,False,Sun Feb 17 01:54:29 +0000 2013,421,302959169454108672
217,Twitter for iPhone,日本生命札幌ビル前に移動。船橋利実(@t_funahashi)候補の応援演説。 船橋さんと一緒に地方創成を実現し、日本と札幌を元気にしていきます。皆様の大きなご支援を！ http://t.co/sgZktPonA8,,False,Fri Dec 05 08:24:16 +0000 2014,292,540783701567606785
4317,TweetDeck,春日パーキングエリアでコーヒーを買いました。 http://t.co/CMP8epzscc,,False,Tue Dec 02 06:09:18 +0000 2014,5435,539662573885337600
202,Facebook,"明日、１１月２２日は、「いい夫婦の日」。
「家庭の幸福は、妻への降伏。」
これが我が家の夫婦円満の秘訣です。
家族の支えがあってこそ、男性も女性も良い仕事ができます。日本の元気は、元気な家庭から。強い日本を取り戻すベースです。 http://t.co/FtuWtPUw2b",,False,Thu Nov 21 09:55:32 +0000 2013,527,403461670707920896
1728,Twitter Web Client,今朝、国家安全保障会議（ＮＳＣ）を緊急に招集、政府の対応を確認。北朝鮮の弾道ミサイル発射は明白な安保理決議違反であり、我が国の安全保障に対する重大な挑発行為です。如何なる事態に対しても、国民の安全の確保に万全を期してまいります。 https://t.co/FXS7GztG20,,False,Fri Mar 18 05:46:26 +0000 2016,1155,710703892879683584
53,Facebook,"昨日自民党総裁として初めて帰郷致しました。
県庁を訪問し、知事そして県議の皆さんにご挨拶し、その後記者会見を行いました。... http://t.co/GXeAT4G9",,False,Sat Oct 06 01:07:40 +0000 2012,177,254387413433077760
9,Facebook,I posted a new photo to Facebook http://t.co/FdQaDPMK,,False,Sun Apr 15 11:29:56 +0000 2012,2,191488523042439170
21,Twitter Web Client,「安倍晋三です。昨年3月11日に発災した東日本大震災は今を生きる私たちにとって忘れえぬ出来事となりました。いまだに34万人の人々が困難な生活を強いられています。今すぐオールジャパンで力強い本格的な復興を政治のリーダシップで進めていかなければなりません」（安倍晋三、公開討論会にて）,,False,Sat Sep 15 04:12:11 +0000 2012,61,246823703730589696
